running on osg.xsede-virt-clust
session id: rp.session.radical.mingtha.016907.0003
Pilot Information
[None, u'Launching', 8.7030508518219]
['pilot.0000', u'Launching', 8.713245868682861]
['pilot.0000', u'PendingActive', 27.728271007537842]
['pilot.0000', u'Active', 279.26771092414856]


Unit Information
['unit.000166', u'pilot.0000', u'PendingInputStaging', 53.08904504776001]
['unit.000193', u'pilot.0000', u'AgentStagingInputPending', 53.089077949523926]
['unit.000191', u'pilot.0000', u'AgentStagingInputPending', 53.08912801742554]
['unit.000219', u'pilot.0000', u'AgentStagingInputPending', 53.08918499946594]
['unit.000177', u'pilot.0000', u'AgentStagingInputPending', 53.08926200866699]
['unit.000186', u'pilot.0000', u'AgentStagingInputPending', 53.08939290046692]
['unit.000184', u'pilot.0000', u'PendingInputStaging', 53.089426040649414]
['unit.000185', u'pilot.0000', u'AgentStagingInputPending', 53.08944892883301]
['unit.000068', u'pilot.0000', u'AgentStagingInputPending', 53.089478969573975]
['unit.000023', u'pilot.0000', u'PendingInputStaging', 53.08965587615967]
['unit.000131', u'pilot.0000', u'AgentStagingInputPending', 53.08967995643616]
['unit.000244', u'pilot.0000', u'PendingInputStaging', 57.7855908870697]
['unit.000089', u'pilot.0000', u'AgentStagingInputPending', 57.785757064819336]
['unit.000025', u'pilot.0000', u'AgentStagingInputPending', 57.78587508201599]
['unit.000027', u'pilot.0000', u'AgentStagingInputPending', 57.7859148979187]
['unit.000026', u'pilot.0000', u'AgentStagingInputPending', 57.78594207763672]
['unit.000023', u'pilot.0000', u'AgentStagingInputPending', 57.78598690032959]
['unit.000246', u'pilot.0000', u'AgentStagingInputPending', 57.786022901535034]
['unit.000030', u'pilot.0000', u'PendingInputStaging', 57.78607106208801]
['unit.000018', u'pilot.0000', u'AgentStagingInputPending', 57.78609895706177]
['unit.000090', u'pilot.0000', u'AgentStagingInputPending', 57.78613495826721]
['unit.000092', u'pilot.0000', u'PendingInputStaging', 57.786170959472656]
['unit.000093', u'pilot.0000', u'PendingInputStaging', 57.78619599342346]
['unit.000153', u'pilot.0000', u'AgentStagingInputPending', 57.78627800941467]
['unit.000132', u'pilot.0000', u'AgentStagingInputPending', 57.786421060562134]
['unit.000249', u'pilot.0000', u'AgentStagingInputPending', 57.78651785850525]
['unit.000159', u'pilot.0000', u'AgentStagingInputPending', 57.78655290603638]
